000000	Officially Xerox
000001	Xerox Corporation
000002	Xerox Corporation
000003	Xerox Corporation
000004	Xerox Corporation
000005	Xerox Corporation
000006	Xerox Corporation
000007	Xerox Corporation
000008	Xerox Corporation
000009	powerpipes?
00000A	Omron Tateisi Electronics Co.
00000B	Matrix Corporation
00000C	Cisco Systems
00000D	Fibronics Ltd.
00000E	Fujitsu Limited
00000F	Next
000010	Sytek Inc.
000011	Normerel Systemes
000012	Information Technology Limited
000015	Datapoint Corporation
000016	Du Pont Pixel Systems.
000018	Webster Computer Corporation
000019	Applied Dynamics International
00001A	Advanced Micro Devices
00001B	Novell (now Eagle Technology)
00001C	Bell Technologies
00001D	Cabletron Systems
00001E	Telsist Industria Electronica
00001F	Telco Systems
000022	Visual Technology Inc.
000023	ABB Automation AB
000024	Connect As
000025	Ramtek Corp.
000026	Sha-Ken Co.
000027	Japan Radio Company
000028	Prodigy Systems Corporation
000029	Imc Networks Corp.
00002A	Trw - Sedd/Inp
00002B	Crisp Automation
00002C	Autotote Limited
00002D	Chromatics Inc
00002E	Societe Evira
00002F	Timeplex Inc.
000030	Vg Laboratory Systems Ltd
000031	Qpsx Communications
000032	Marconi plc
000033	Egan Machinery Company
000034	Network Resources Corporation
000035	Spectragraphics Corporation
000036	Atari Corporation
000037	Oxford Metrics Limited
000038	Css Labs
000039	Toshiba Corporation
00003A	Chyron Corporation
00003B	i Controls
00003C	Auspex Systems Inc.
00003F	Syntrex
000040	Applicon
000041	Ice Corporation
000042	Metier Management Systems Ltd.
000043	Micro Technology
000044	Castelle Corporation
000045	Ford Aerospace & Comm. Corp.
000046	Olivetti North America
000047	Nicolet Instruments Corp.
000048	Seiko Epson Corporation
000049	Apricot Computers
00004A	Adc Codenoll Technology Corp.
00004B	Icl Data Oy
00004C	Nec Corporation
00004D	Dci Corporation
00004E	Ampex Corporation
00004F	Logicraft 386-Ware P.C. Emulator
000050	Radisys Corporation
000051	Hob Electronic Gmbh & Co. Kg
000052	Intrusion.com
000053	Compucorp
000054	Schneider Electric
000055	Commissariat A L`Energie Atom.
000056	Dr. B. Struck
000057	Scitex Corporation Ltd.
000058	Racore Computer Products Inc.
000059	Hellige GMBH
00005A	SK
00005B	Eltec Elektronik Ag
00005C	Telematics International Inc.
00005D	Cs Telecom
00005E	ICANN
00005F	Sumitomo Electric Industries
000060	Kontron Elektronik Gmbh
000061	Gateway Communications
000062	Bull Hn Information Systems
000063	Barco Control Rooms Gmbh
000064	Yokogawa Digital Computer Corporation
000065	Network General Corporation
000066	Talaris Systems
000067	Soft * Rite
000068	Rosemount Controls
000069	Concord Communications Inc
00006A	Computer Consoles Inc.
00006B	Silicon Graphics Inc./Mips
00006D	Cray Communications
00006E	Artisoft Inc.
00006F	Madge Networks Ltd.
000070	Hcl Limited
000071	Adra Systems Inc.
000072	Miniware Technology
000073	Siecor Corporation
000074	Ricoh Company Ltd.
000075	Bell Northern Research (BNR)
000076	Abekas Video System
000077	Interphase
000078	Labtam Limited
000079	Networth Incorporated
00007A	Dana Computer Inc.
00007B	Research Machines
00007C	Ampere Incorporated
00007D	Oracle Corporation
00007E	Clustrix Corporation
00007F	Linotype-Hell AG
000080	Cray Communications (formerly Dowty Network Services)
000081	Bay Networks
000082	Lectra Systemes Sa
000083	Tadpole Technology  [had Optical Data Systems which is wrong according to both]
000085	Canon Inc.
000086	Megahertz Corporation
000087	Hitachi
000088	Brocade Communications Systems
000089	Cayman Systems
00008A	Datahouse Information Systems
00008C	Alloy Computer Products (Australia) Pty Ltd
00008D	Cryptek Inc.
00008E	Solbourne Computer
000091	Anritsu Corporation
000092	Cogent Data Technologies
000093	Proteon Inc.
000094	Asante
000095	Sony Tektronix Corp.
000096	Marconi Electronics Ltd.
000097	Dell EMC
000098	Crosscomm Corporation
000099	Mtx
00009A	Rc Computer A/S
00009B	Information International
00009C	Rolm Mil-Spec Computers
00009D	Locus Computing Corporation
00009E	Marli S.A.
00009F	Ameristar Technologies Inc.
0000A0	SANYO Electric Co.
0000A1	Marquette Electric Co.
0000A2	Bay Networks
0000A3	Network Application Technology
0000A4	Acorn Computers Limited
0000A5	Tattile SRL
0000A6	Network General (internal assignment
0000A8	Stratus Technologies
0000A9	Network Systems Corp.
0000AA	Xerox
0000AB	Logic Modeling Corporation
0000AC	Conware Netzpartner
0000AD	Bruker Instruments Inc.
0000AE	Dassault Electronique
0000AF	Canberra Industries
0000B0	Rnd-Rad Network Devices
0000B1	Alpha Micro
0000B2	Televideo Systems
0000B3	Cimlinc Incorporated
0000B4	Edimax Technology Co. Ltd.
0000B5	Datability
0000B6	Micro-Matic Research
0000B7	Dove
0000B8	Seikosha Co.
0000B9	Mcdonnell Douglas Computer Sys
0000BA	Siig
0000BB	TRI-DATA Systems Inc.
0000BC	Rockwell Automation
0000BD	Mitsubishi Cable Industries
0000BE	The Nti Group
0000BF	Symmetric Computer Systems
0000C0	Western Digital now SMC (Std. Microsystems Corp.)
0000C1	Madge Ltd.
0000C2	Information Presentation Tech.
0000C3	Harris Corporation
0000C4	Waters Div. Of Millipore
0000C5	ARRIS Group
0000C6	HP Intelligent Networks Operation (formerly Eon Systems)
